"";"Month";"n"
"1";2012-01-01;103
"2";2012-02-01;147
"3";2012-03-01;158
"4";2012-04-01;146
"5";2012-05-01;158
"6";2012-06-01;102
"7";2012-07-01;127
"8";2012-08-01;137
"9";2012-09-01;156
"10";2012-10-01;175
"11";2012-11-01;189
"12";2012-12-01;161
"13";2013-01-01;196
"14";2013-02-01;199
"15";2013-03-01;258
"16";2013-04-01;245
"17";2013-05-01;244
"18";2013-06-01;292
"19";2013-07-01;323
"20";2013-08-01;330
"21";2013-09-01;319
"22";2013-10-01;298
"23";2013-11-01;317
"24";2013-12-01;269
"25";2014-01-01;351
"26";2014-02-01;362
"27";2014-03-01;420
"28";2014-04-01;346
"29";2014-05-01;365
"30";2014-06-01;398
"31";2014-07-01;415
"32";2014-08-01;401
"33";2014-09-01;424
"34";2014-10-01;450
"35";2014-11-01;484
"36";2014-12-01;442
"37";2015-01-01;511
"38";2015-02-01;542
"39";2015-03-01;674
"40";2015-04-01;640
"41";2015-05-01;685
"42";2015-06-01;701
"43";2015-07-01;833
"44";2015-08-01;783
"45";2015-09-01;791
"46";2015-10-01;819
"47";2015-11-01;859
"48";2015-12-01;744
"49";2016-01-01;819
"50";2016-02-01;959
"51";2016-03-01;1047
"52";2016-04-01;1075
"53";2016-05-01;1153
"54";2016-06-01;1170
"55";2016-07-01;1225
"56";2016-08-01;1366
"57";2016-09-01;1354
"58";2016-10-01;1393
"59";2016-11-01;1456
"60";2016-12-01;1367
"61";2017-01-01;1632
"62";2017-02-01;1631
"63";2017-03-01;1912
"64";2017-04-01;1711
"65";2017-05-01;1962
"66";2017-06-01;1934
"67";2017-07-01;2096
"68";2017-08-01;2006
"69";2017-09-01;1932
"70";2017-10-01;2158
"71";2017-11-01;1983
"72";2017-12-01;1740
"73";2018-01-01;2025
"74";2018-02-01;1981
"75";2018-03-01;2352
"76";2018-04-01;2425
"77";2018-05-01;2659
"78";2018-06-01;2664
"79";2018-07-01;2845
"80";2018-08-01;2916
"81";2018-09-01;275
